title,company,location,summary,salary
Casual Ecologist/Environmental Scientist,Anderson Environmental Pty Ltd,Australia,"A minimum of 3 years practical experience undertaking field-based surveys, data analysis and reporting, preferably in a consulting capacity.",115926.1
Data Scientist,Vodafone,North Sydney NSW,"Collect, aggregate and analyse data from multiple internal and external sources to drive actionable insights.
2-3+ years of hands on experience in data science,…",115926.1
Junior Data Analyst/Scientist,International Institute of Data & Analytics,Sydney NSW,"In data science and big data analytics, the IDA creates enablers for:
Leading the field of data science and analytics innovation, training and services by…",115926.1
Data Scientist,ED - Group Support Functions,Sydney NSW,Work with our data engineering and technology teams to identify the right big data infrastructure to support our future ambitions.,115926.1
Machine Learning Data Scientist,Susquehanna International Group,Sydney NSW,"We work at all levels of the problem domain from market data handlers through trade monitoring.
Work with python systems to extract the data you will require; …",115926.1
Data Scientist,THE ICONIC,Sydney NSW,"We look for Data Scientists and Data Analysts who can solve complex data problems and are experts in data analysis.
What does success look like?",115926.1
Data Scientist,Fortescue Metals Group,Perth WA,"Interpreting data, analysing data using statistical techniques.
Acquiring data from primary or secondary data sources and maintaining databases.",115926.1
Data Scientist - Product Analytics,Atlassian,Sydney NSW,Play with our seriously large volume of analytics data to understand insightful trends and employ this behavioural data and insights to intelligently to improve…,115926.1
Data Scientist,Macquarie Group Limited,Sydney NSW,"Mentoring junior data scientists including reviewing code and analysis approaches.
Sourcing and identifying relevant data sources, cleaning and preparing data.",115926.1
Data Scientist,REA Group,Sydney NSW,"Build data pipelines, troubleshoot data and script issues and proactively analyse the model building processes to identify and recommend improvements.",115926.1
Data Scientist ,Robonomics AI,Sydney NSW,"We are looking for a candidate with good command over R/Python and in-depth knowledge and experience in Machine Learning, deep learning methods, algorithm…",115926.1
"Data Scientist, Digital Delta",KPMG,Sydney NSW,"Actioning insights from trusted data to consistently and quickly make clear decisions.
Extract and manipulate data from a variety of sources and apply the…",115926.1
"Senior Data Scientist, Customer Analytics",Atlassian,Sydney NSW,"A strong intuition for crafting raw data and analysis into well-written and persuasive content.
Expertise in SQL and proficiency in another data programming…",115926.1
Data Scientist,Fortune Select,Newcastle NSW,"Minimum 10 years exp. in data scientist role and 5 years in telco exp.
Candidate should have big data analytics exp. working on AW/Azure cloud for data analysis…",115926.1
"EL1, Senior Data Scientist, Canberra",Australian Criminal Intelligence Commission (ACIC),Canberra ACT,"In-depth knowledge and expertise of data management, data mining, text mining, statistics and software development is critical.
Job Type: Ongoing, Full Time.", 122623
"Senior Data Scientist, Customer Analytics",Atlassian,Sydney NSW,"A strong intuition for crafting raw data and analysis into well-written and persuasive content.
Expertise in SQL and proficiency in another data programming…",115926.1
Data Scientist,Fortune Select,Newcastle NSW,"Minimum 10 years exp. in data scientist role and 5 years in telco exp.
Candidate should have big data analytics exp. working on AW/Azure cloud for data analysis…",115926.1
"EL1, Senior Data Scientist, Canberra",Australian Criminal Intelligence Commission (ACIC),Canberra ACT,"In-depth knowledge and expertise of data management, data mining, text mining, statistics and software development is critical.
Job Type: Ongoing, Full Time.", 122623
Jewel Paymentech SG - Lead Data Scientist,TechSkills Accelerator,Australia,"Track record in leading data science projects and delivering from end-to-end.
Proficient in big data computing skills: scikit-learn in Python, Pandas, Hadoop,…",115926.1
"Expressions of Interest- Strategy, Growth & Digital",KPMG,Sydney NSW,"Our mission is to assist organisations turn their data into strategic assets, developing data strategies and data management practices that enable responsible…",115926.1
R&D Optical Algorithms Engineer,Finisar Australia,Rosebery NSW,"We work in a dynamic environment and with a high level of cooperation with other engineers and scientists in the R&D group.
Strong math and analytical skills.",115926.1
Data Engineer,Faethm,Sydney NSW,A broad understanding of the numerous technologies and methods used by data scientists and engineers to deliver production-grade data science outcomes.,115926.1
"Data Analyst – Economic Analysis Department, RBA",Reserve Bank of Australia,Sydney NSW,On top of that you will update data in the various data repositories (databases and spreadsheets) in a timely and accurate manner.,115926.1
Scientist,Australian Red Cross Lifeblood,Alexandria NSW,"Manage the receipt, input and tracking of clinical data.
Fixed term full time opportunity until August 2021.
We also help to facilitate the donation of tissue,…",115926.1
Lucence SG - Bioinformatician / Data Scientist,TechSkills Accelerator,Australia,"Developing novel algorithms and statistical models as required by the company.
Building production-level bioinformatics pipelines using docker and AWS step…",115926.1
Data Scientist,Firesoft People,Sydney NSW,"Proven commercial experience in statistical and machine learning modelling, with experience manipulating big data from disparate systems.",200000.0
Medical Laboratory Scientist,NSW Health Pathology,Sydney NSW,"Our network of pathologists are supported by scientists, technicians and support staff who quickly and accurately assess samples so clinical teams can make the…", 93112
Research Associate - Data Science,University of New South Wales,Sydney NSW,"Often such models are developed based on the behavioural data collected in (sequential) decision-making tasks in humans, and in some studies neural data…", 103000
Data Scientist - Machine Learning/ NLP / Conversational AI,Oracle,Melbourne VIC,"If you are looking for an exciting new opportunity as a data scientist to help solve difficult problems, be creative, create success for customers, and engage…",115926.1
Azendian - Data Scientist,TechSkills Accelerator,Australia,"Consolidation and preparation of data, as well as verifying the quality of data.
Be able to develop SQL queries and working with data models.",115926.1
"Senior Data Scientist, Customer Analytics",Atlassian,Sydney NSW,"A strong intuition for crafting raw data and analysis into well-written and persuasive content.
Expertise in SQL and proficiency in another data programming…",115926.1
Data Scientist,Fortune Select,Newcastle NSW,"Minimum 10 years exp. in data scientist role and 5 years in telco exp.
Candidate should have big data analytics exp. working on AW/Azure cloud for data analysis…",115926.1
"EL1, Senior Data Scientist, Canberra",Australian Criminal Intelligence Commission (ACIC),Canberra ACT,"In-depth knowledge and expertise of data management, data mining, text mining, statistics and software development is critical.
Job Type: Ongoing, Full Time.", 122623
Jewel Paymentech SG - Lead Data Scientist,TechSkills Accelerator,Australia,"Track record in leading data science projects and delivering from end-to-end.
Proficient in big data computing skills: scikit-learn in Python, Pandas, Hadoop,…",115926.1
"Expressions of Interest- Strategy, Growth & Digital",KPMG,Sydney NSW,"Our mission is to assist organisations turn their data into strategic assets, developing data strategies and data management practices that enable responsible…",115926.1
R&D Optical Algorithms Engineer,Finisar Australia,Rosebery NSW,"We work in a dynamic environment and with a high level of cooperation with other engineers and scientists in the R&D group.
Strong math and analytical skills.",115926.1
Data Engineer,Faethm,Sydney NSW,A broad understanding of the numerous technologies and methods used by data scientists and engineers to deliver production-grade data science outcomes.,115926.1
"Data Analyst – Economic Analysis Department, RBA",Reserve Bank of Australia,Sydney NSW,On top of that you will update data in the various data repositories (databases and spreadsheets) in a timely and accurate manner.,115926.1
Scientist,Australian Red Cross Lifeblood,Alexandria NSW,"Manage the receipt, input and tracking of clinical data.
Fixed term full time opportunity until August 2021.
We also help to facilitate the donation of tissue,…",115926.1
Lucence SG - Bioinformatician / Data Scientist,TechSkills Accelerator,Australia,"Developing novel algorithms and statistical models as required by the company.
Building production-level bioinformatics pipelines using docker and AWS step…",115926.1
Data Scientist,Firesoft People,Sydney NSW,"Proven commercial experience in statistical and machine learning modelling, with experience manipulating big data from disparate systems.",200000.0
Medical Laboratory Scientist,NSW Health Pathology,Sydney NSW,"Our network of pathologists are supported by scientists, technicians and support staff who quickly and accurately assess samples so clinical teams can make the…", 93112
Research Associate - Data Science,University of New South Wales,Sydney NSW,"Often such models are developed based on the behavioural data collected in (sequential) decision-making tasks in humans, and in some studies neural data…", 103000
Data Scientist - Machine Learning/ NLP / Conversational AI,Oracle,Melbourne VIC,"If you are looking for an exciting new opportunity as a data scientist to help solve difficult problems, be creative, create success for customers, and engage…",115926.1
Azendian - Data Scientist,TechSkills Accelerator,Australia,"Consolidation and preparation of data, as well as verifying the quality of data.
Be able to develop SQL queries and working with data models.",115926.1
Instrument Scientist - Polarised Neutron Reflectometry,ANSTO,Lucas Heights NSW,"Reduce and correct user data and provide advice or further data processing and interpretation;
Reporting to the Reflectometry Group Manager, you will have…",115926.1
Data Scientist,Sherpa,Australia,"Research and develop statistical learning models for data analysis.
Strong data analysis skills & Presentation skills making the complex simple.",115926.1
Data & Analytics Specialist,Roche,Sydney NSW,"We are a global team of data scientists, data engineers and data analysts.
Bridges the gap between business and data scientists by describing business…",115926.1
"APS 5, APS 6 (Multiple Classifications) - Data Analyst, Data Scientist – Analytics and Reporting",Australian Government Department of Defence,Canberra ACT,"Identifying connections between systems and data (mainly structured data sets) and working on new ways to simplify, automate and standardise key financial…", 92150
Data Scientist,TabCorp Holdings,Sydney NSW,A proven track record of delivering data science solutions into production that have delivered significant business/financial value.,115926.1
Lazada SG - Data Scientist,TechSkills Accelerator,Australia,"Solid theoretical foundations and industry experiences in machine learning, personalized search & recommendation, user/seller behaviour modelling, sales…",115926.1
Junior Data Scientist,Correlate Resources,Sydney NSW,"Managing, manipulating and automating production of complex data sets in a true big data environment leveraging skills in Hadoop, Spark, Scala, R, Python and…",115926.1
